User,Rating,Artist,Track,Time
23683,72,26,61,22
34410,1,33,85,12
29682,4,37,99,23
9004,69,10,25,7
468,29,0,2,6
30910,28,14,95,23
33749,41,16,139,12
18332,100,23,56,21
23726,49,26,61,22
18501,10,20,44,21
18955,11,20,44,21
24577,8,28,72,22
15984,43,17,36,8
24375,9,30,78,22
32632,83,22,116,0
44563,54,45,163,16
35139,22,10,140,12
50884,32,40,176,17
42761,32,44,162,16
6454,30,10,26,7
38640,34,6,148,15
6143,32,6,14,7
31512,65,39,106,23
32886,74,22,117,0
29268,37,14,96,23
2574,10,1,4,18
43112,18,44,161,16
2523,16,3,9,18
19118,70,23,57,21
18422,45,21,22,21
33032,10,22,130,0
23183,14,26,66,22
39700,29,0,1,15
40613,12,0,151,15
24957,5,30,76,22
30236,4,39,106,23
23247,32,30,78,22
33687,10,10,140,12
18261,28,21,48,21
18145,64,21,47,21
44390,10,45,164,16
4283,54,3,10,18
11649,29,15,33,19
45301,31,46,165,16
49286,79,40,176,17
33635,30,16,135,12
31187,47,39,106,23
30401,52,14,95,23
32640,13,22,130,0
501,67,0,2,6
1833,18,1,4,18
19047,24,20,45,21
31774,1,14,96,23
30449,50,35,92,23
41888,49,44,161,16
18262,13,21,48,21
5367,26,5,13,18
47748,70,48,172,17
30962,15,38,102,23
50846,76,40,181,17
33731,70,16,136,12
32545,14,22,118,0
50599,30,49,182,17
2873,43,4,11,18
31762,9,37,98,23
42449,68,43,159,16
32536,51,22,107,0
22028,51,27,71,22
567,42,0,1,6
1380,15,0,3,6
22651,2,27,71,22
50063,11,49,183,17
34191,30,16,137,12
30110,28,39,104,23
19770,49,21,22,21
34913,56,33,85,12
43444,30,46,166,16
34550,30,10,142,12
33978,10,16,136,12
44190,89,45,164,16
23187,7,2,69,22
17708,13,22,54,21
23348,35,26,67,22
20513,9,23,56,21
17696,8,21,48,21
21405,11,28,72,22
41755,95,41,155,16
17254,29,21,48,21
47941,23,2,174,17
11307,29,12,30,19
30610,12,35,91,23
28704,38,35,90,23
8754,91,7,18,7
18008,44,21,50,21
29431,50,37,97,23
17880,71,20,44,21
2757,66,4,11,18
8512,30,7,19,7
19282,9,23,56,21
6035,46,6,15,7
4821,86,2,8,18
11441,30,15,33,19
30266,51,14,94,23
33157,52,22,119,0
29431,35,37,101,23
2285,6,1,4,18
27696,52,14,95,23
47903,28,2,175,17
19211,49,21,47,21
7922,6,9,23,7
23692,52,26,63,22
23163,8,26,61,22
18198,38,20,45,21
35675,27,33,85,12
30082,9,37,100,23
24135,50,26,64,22
18806,45,20,46,21
32899,46,22,132,0
40099,37,11,153,15
9627,42,10,24,7
2746,31,1,4,18
23547,41,26,62,22
27083,11,31,80,11
38960,10,11,154,15
25878,9,33,85,11
44589,12,46,166,16
44770,28,45,163,16
22769,10,27,71,22
2883,9,1,6,18
4596,46,2,7,18
32331,16,22,115,0
37387,44,40,147,13
22429,29,2,70,22
29335,46,37,100,23
40844,10,11,154,15
12188,58,14,32,19
36335,89,40,147,13
36016,10,10,144,12
35853,6,10,141,12
18677,50,20,44,21
42430,30,44,162,16
43331,40,45,164,16
720,48,0,1,6
39949,65,0,1,15
39749,13,11,152,15
7641,41,11,28,7
20424,12,21,50,21
21435,41,2,70,22
35098,26,16,136,12
12603,10,12,30,19
47657,52,40,181,17
21913,12,2,69,22
20519,32,22,55,21
9232,30,10,27,7
3122,62,4,11,18
34529,16,16,136,12
35574,24,10,142,12
34429,29,10,141,12
10540,28,10,25,7
34896,50,16,137,12
10187,30,9,23,7
8553,43,8,20,7
44783,16,46,168,16
12300,51,15,33,19
29390,50,34,87,23
28189,30,39,104,23
48197,10,2,174,17
32933,52,22,54,0
44787,30,46,165,16
22428,71,26,65,22
30965,20,39,106,23
29108,27,34,87,23
49385,31,2,174,17
32074,9,37,99,23
19292,51,21,22,21
10049,16,9,23,7
21580,66,26,61,22
33393,29,16,134,12
1135,10,0,1,6
19909,30,22,55,21
28806,39,39,105,23
27268,30,31,79,11
34721,10,10,141,12
41831,70,43,159,16
4871,7,3,9,18
17481,30,20,44,21
25073,34,30,77,22
17972,54,20,45,21
30044,8,35,88,23
9859,66,9,21,7
25913,11,31,80,11
3486,31,1,5,18
29825,1,37,101,23
1909,93,1,5,18
2740,51,5,13,18
35734,44,10,143,12
49556,69,40,178,17
39184,53,0,150,15
20003,31,21,51,21
12045,7,15,33,19
16645,10,18,37,9
31951,22,39,106,23
29612,8,35,90,23
17793,33,22,54,21
31727,36,37,98,23
27623,59,32,81,11
25841,19,31,79,11
34251,20,10,143,12
44856,30,46,165,16
46944,6,47,171,4
19079,31,23,57,21
4963,35,2,8,18
35353,38,10,140,12
42228,11,42,157,16
4356,9,4,12,18
33797,30,16,135,12
24471,33,2,69,22
2213,70,3,9,18
7230,3,9,22,7
20335,26,21,49,21
7945,12,10,25,7
34610,48,16,138,12
8238,67,9,23,7
36994,11,40,146,13
44151,70,46,169,16
30273,5,37,100,23
44864,25,46,169,16
43922,30,46,169,16
26170,49,32,84,11
28873,58,36,93,23
9053,9,11,29,7
27900,8,14,96,23
23927,32,26,65,22
40826,45,0,150,15
5299,54,5,13,18
50020,29,49,182,17
48461,29,2,174,17
25246,34,27,71,22
17449,26,21,22,21
31399,14,37,100,23
37929,57,4,12,13
35523,72,33,85,12
21803,47,21,60,22
31968,28,37,99,23
39600,53,0,150,15
22433,9,2,70,22
20806,48,22,55,21
33803,39,10,145,12
48925,42,2,174,17
22939,51,2,69,22
19409,3,24,58,21
44143,71,46,168,16
32385,49,22,124,0
745,57,0,3,6
3213,51,2,7,18
29325,28,35,90,23
26706,14,32,81,11
37705,48,40,147,13
23460,4,26,67,22
48153,48,40,181,17
28798,7,14,96,23
30158,10,14,94,23
18747,8,20,46,21
21831,10,21,48,22
35736,67,10,145,12
36117,70,4,11,13
32581,52,22,133,0
44135,10,46,169,16
36024,31,10,145,12
4373,31,5,13,18
33801,29,10,143,12
49788,10,40,181,17
37384,70,4,11,13
31716,19,14,96,23
29032,21,34,86,23
23445,19,30,76,22
22506,51,21,48,22
28912,1,37,97,23
50149,49,2,175,17
28115,8,34,87,23
17712,69,21,49,21
10676,47,10,27,7
49393,14,40,178,17
3497,50,4,11,18
13707,9,12,34,8
18745,27,21,49,21
43787,17,46,167,16
22238,53,26,62,22
36928,21,40,146,13
29750,8,37,97,23
30243,32,35,89,23
6547,88,11,29,7
3027,42,1,4,18
17913,56,22,52,21
2969,12,1,4,18
16389,32,17,36,8
25801,18,31,79,11
434,30,0,1,6
42431,68,41,155,16
3664,70,1,4,18
35099,36,10,143,12
23990,50,2,68,22
47871,44,49,183,17
42530,71,43,160,16
32893,100,22,133,0
21909,50,21,48,22
5856,49,8,20,7
7385,8,6,14,7
30654,41,35,89,23
31867,48,39,103,23
6583,30,11,28,7
44518,48,46,168,16
39248,12,11,152,15
45163,30,46,165,16
35274,11,10,140,12
24187,49,26,66,22
32160,11,37,99,23
7839,87,11,28,7
9724,29,9,22,7
26092,34,32,82,11
44546,10,45,163,16
20485,33,22,54,21
8752,29,10,25,7
12485,63,12,30,19
31302,11,37,98,23
30474,32,14,95,23
47596,45,40,177,17
26865,90,32,83,11
27826,41,35,92,23
19353,10,21,50,21
50413,70,40,181,17
18689,32,25,59,21
34093,38,10,143,12
45707,46,47,171,4
37051,23,40,147,13
41486,56,44,162,16
9019,1,11,28,7
6334,31,6,16,7
24623,30,2,69,22
42894,69,44,161,16
10212,51,9,22,7
39061,71,0,150,15
42519,93,42,158,16
6449,30,10,24,7
23604,18,26,66,22
29915,36,39,104,23
23333,10,26,63,22
9170,50,9,21,7
31846,28,37,99,23
32978,90,22,52,0
32991,90,22,119,0
19447,11,21,51,21
42910,33,44,162,16
21311,16,21,60,22
6769,13,10,24,7
23569,29,29,74,22
17653,73,20,45,21
39726,50,0,151,15
17252,48,21,51,21
7472,50,7,18,7
23369,23,26,66,22
32423,14,22,119,0
30549,38,37,97,23
